Date : 2025-07-29 18:39:13
Directory : c:\Users\李子林\Desktop\aigc\项目\emocloud1
Total : 302 files,  15325 codes, 936 comments, 1527 blanks, all 17788 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-drawer\changelog.md                                                | Markdown   |         13 |          0 |          1 |         14 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-drawer\components\uni-drawer\keypress.js                           | JavaScript |         39 |          6 |          1 |         46 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-drawer\package.json                                                | JSON       |         87 |          0 |          0 |         87 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-drawer\readme.md                                                   | Markdown   |          6 |          0 |          4 |         10 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-easyinput\changelog.md                                             | Markdown   |         74 |          0 |         40 |        114 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-easyinput\components\uni-easyinput\common.js                       | JavaScript |         41 |         12 |          2 |         55 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-easyinput\package.json                                             | JSON       |         88 |          0 |          0 |         88 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-easyinput\readme.md                                                | Markdown   |          6 |          0 |          5 |         11 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fab\changelog.md                                                   | Markdown   |         23 |          0 |          1 |         24 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fab\package.json                                                   | JSON       |         84 |          0 |          1 |         85 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fab\readme.md                                                      | Markdown   |          6 |          0 |          3 |          9 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fav\changelog.md                                                   | Markdown   |         19 |          0 |          1 |         20 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fav\components\uni-fav\i18n\en.json                                | JSON       |          4 |          0 |          1 |          5 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fav\components\uni-fav\i18n\index.js                               | JavaScript |          8 |          0 |          1 |          9 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fav\components\uni-fav\i18n\zh-Hans.json                           | JSON       |          4 |          0 |          1 |          5 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fav\components\uni-fav\i18n\zh-Hant.json                           | JSON       |          4 |          0 |          1 |          5 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fav\package.json                                                   | JSON       |         89 |          0 |          1 |         90 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fav\readme.md                                                      | Markdown   |          6 |          0 |          4 |         10 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-file-picker\changelog.md                                           | Markdown   |         75 |          0 |          1 |         76 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-file-picker\components\uni-file-picker\choose-and-upload-file.js   | JavaScript |        261 |         10 |         17 |        288 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-file-picker\components\uni-file-picker\utils.js                    | JavaScript |         86 |         19 |          6 |        111 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-file-picker\package.json                                           | JSON       |         83 |          0 |          1 |         84 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-file-picker\readme.md                                              | Markdown   |          6 |          0 |          5 |         11 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-forms\changelog.md                                                 | Markdown   |         94 |          0 |          1 |         95 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-forms\components\uni-forms\utils.js                                | JavaScript |        162 |        111 |         21 |        294 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-forms\components\uni-forms\validate.js                             | JavaScript |        421 |          1 |         65 |        487 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-forms\package.json                                                 | JSON       |         88 |          0 |          1 |         89 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-forms\readme.md                                                    | Markdown   |         12 |          0 |         11 |         23 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-goods-nav\changelog.md                                             | Markdown   |         17 |          0 |          2 |         19 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-goods-nav\components\uni-goods-nav\i18n\en.json                    | JSON       |          6 |          0 |          1 |          7 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-goods-nav\components\uni-goods-nav\i18n\index.js                   | JavaScript |          8 |          0 |          1 |          9 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-goods-nav\components\uni-goods-nav\i18n\zh-Hans.json               | JSON       |          6 |          0 |          1 |          7 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-goods-nav\components\uni-goods-nav\i18n\zh-Hant.json               | JSON       |          6 |          0 |          1 |          7 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-goods-nav\package.json                                             | JSON       |         88 |          0 |          1 |         89 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-goods-nav\readme.md                                                | Markdown   |          6 |          0 |          4 |         10 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-grid\changelog.md                                                  | Markdown   |         13 |          0 |          1 |         14 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-grid\package.json                                                  | JSON       |         86 |          0 |          1 |         87 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-grid\readme.md                                                     | Markdown   |          6 |          0 |          5 |         11 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-group\changelog.md                                                 | Markdown   |         16 |          0 |          1 |         17 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-group\package.json                                                 | JSON       |         87 |          0 |          0 |         87 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-group\readme.md                                                    | Markdown   |          6 |          0 |          3 |          9 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-icons\changelog.md                                                 | Markdown   |         40 |          0 |          1 |         41 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-icons\components\uni-icons\uniicons.css                            | PostCSS    |        498 |          0 |        167 |        665 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-icons\components\uni-icons\uniicons_file.ts                        | TypeScript |        658 |          1 |          6 |        665 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-icons\components\uni-icons\uniicons_file_vue.js                    | JavaScript |        646 |          1 |          3 |        650 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-icons\package.json                                                 | JSON       |         88 |          0 |          1 |         89 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-icons\readme.md                                                    | Markdown   |          6 |          0 |          3 |          9 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-indexed-list\changelog.md                                          | Markdown   |         16 |          0 |          2 |         18 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-indexed-list\package.json                                          | JSON       |         89 |          0 |          1 |         90 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-indexed-list\readme.md                                             | Markdown   |          6 |          0 |          6 |         12 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-link\changelog.md                                                  | Markdown   |         16 |          0 |          2 |         18 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-link\package.json                                                  | JSON       |         87 |          0 |          0 |         87 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-link\readme.md                                                     | Markdown   |          6 |          0 |          5 |         11 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-list\changelog.md                                                  | Markdown   |         46 |          0 |          1 |         47 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-list\components\uni-list-chat\uni-list-chat.scss                   | SCSS       |         25 |         23 |         11 |         59 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-list\components\uni-list\uni-refresh.wxs                           | XML        |         73 |          0 |         15 |         88 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-list\package.json                                                  | JSON       |         88 |          0 |          0 |         88 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-list\readme.md                                                     | Markdown   |        245 |         10 |         91 |        346 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-load-more\changelog.md                                             | Markdown   |         19 |          0 |          1 |         20 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-load-more\components\uni-load-more\i18n\en.json                    | JSON       |          5 |          0 |          1 |          6 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-load-more\components\uni-load-more\i18n\index.js                   | JavaScript |          8 |          0 |          1 |          9 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-load-more\components\uni-load-more\i18n\zh-Hans.json               | JSON       |          5 |          0 |          1 |          6 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-load-more\components\uni-load-more\i18n\zh-Hant.json               | JSON       |          5 |          0 |          1 |          6 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-load-more\package.json                                             | JSON       |         86 |          0 |          0 |         86 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-load-more\readme.md                                                | Markdown   |          6 |          0 |          9 |         15 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-nav-bar\changelog.md                                               | Markdown   |         48 |          0 |          4 |         52 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-nav-bar\package.json                                               | JSON       |         86 |          0 |          0 |         86 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-nav-bar\readme.md                                                  | Markdown   |          6 |          0 |         10 |         16 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-notice-bar\changelog.md                                            | Markdown   |         19 |          0 |          2 |         21 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-notice-bar\package.json                                            | JSON       |         87 |          0 |          1 |         88 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-notice-bar\readme.md                                               | Markdown   |          6 |          0 |          8 |         14 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-number-box\changelog.md                                            | Markdown   |         38 |          0 |          2 |         40 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-number-box\package.json                                            | JSON       |         83 |          0 |          0 |         83 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-number-box\readme.md                                               | Markdown   |          6 |          0 |          8 |         14 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-pagination\changelog.md                                            | Markdown   |         26 |          0 |          2 |         28 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-pagination\components\uni-pagination\i18n\en.json                  | JSON       |          5 |          0 |          1 |          6 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-pagination\components\uni-pagination\i18n\es.json                  | JSON       |          5 |          0 |          1 |          6 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-pagination\components\uni-pagination\i18n\fr.json                  | JSON       |          5 |          0 |          1 |          6 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-pagination\components\uni-pagination\i18n\index.js                 | JavaScript |         12 |          0 |          1 |         13 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-pagination\components\uni-pagination\i18n\zh-Hans.json             | JSON       |          5 |          0 |          1 |          6 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-pagination\components\uni-pagination\i18n\zh-Hant.json             | JSON       |          5 |          0 |          1 |          6 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-pagination\package.json                                            | JSON       |         83 |          0 |          0 |         83 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-pagination\readme.md                                               | Markdown   |          6 |          0 |          6 |         12 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-popup\changelog.md                                                 | Markdown   |         84 |          0 |          1 |         85 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-popup\components\uni-popup-dialog\keypress.js                      | JavaScript |         42 |          3 |          1 |         46 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-popup\components\uni-popup\i18n\en.json                            | JSON       |          7 |          0 |          1 |          8 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-popup\components\uni-popup\i18n\index.js                           | JavaScript |          8 |          0 |          1 |          9 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-popup\components\uni-popup\i18n\zh-Hans.json                       | JSON       |          7 |          0 |          1 |          8 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-popup\components\uni-popup\i18n\zh-Hant.json                       | JSON       |          7 |          0 |          1 |          8 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-popup\components\uni-popup\keypress.js                             | JavaScript |         39 |          6 |          1 |         46 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-popup\components\uni-popup\popup.js                                | JavaScript |         21 |          3 |          3 |         27 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-popup\package.json                                                 | JSON       |         88 |          0 |          1 |         89 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-popup\readme.md                                                    | Markdown   |          7 |          0 |         11 |         18 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-rate\changelog.md                                                  | Markdown   |         23 |          0 |          3 |         26 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-rate\package.json                                                  | JSON       |         88 |          0 |          1 |         89 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-rate\readme.md                                                     | Markdown   |          7 |          0 |          5 |         12 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-row\changelog.md                                                   | Markdown   |         10 |          0 |          1 |         11 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-row\package.json                                                   | JSON       |         87 |          0 |          0 |         87 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-row\readme.md                                                      | Markdown   |          6 |          0 |          4 |         10 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\changelog.md                                                  | Markdown   |          8 |          0 |          1 |          9 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\index.scss                                                    | SCSS       |          1 |          0 |          1 |          2 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\package.json                                                  | JSON       |         82 |          0 |          1 |         83 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\readme.md                                                     | Markdown   |          3 |          0 |          1 |          4 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\styles\index.scss                                             | SCSS       |          7 |          0 |          1 |          8 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\styles\setting\_border.scss                                   | SCSS       |          3 |          0 |          0 |          3 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\styles\setting\_color.scss                                    | SCSS       |         49 |         16 |          2 |         67 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\styles\setting\_radius.scss                                   | SCSS       |         52 |          1 |          3 |         56 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\styles\setting\_space.scss                                    | SCSS       |         54 |          0 |          2 |         56 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\styles\setting\_styles.scss                                   | SCSS       |        149 |          3 |         16 |        168 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\styles\setting\_text.scss                                     | SCSS       |         19 |          4 |          2 |         25 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\styles\setting\_variables.scss                                | SCSS       |        103 |         29 |         15 |        147 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\styles\tools\functions.scss                                   | SCSS       |         17 |          1 |          2 |         20 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\theme.scss                                                    | SCSS       |         19 |         11 |          2 |         32 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-scss\variables.scss                                                | SCSS       |         37 |         13 |         13 |         63 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-search-bar\changelog.md                                            | Markdown   |         45 |          0 |          3 |         48 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-search-bar\components\uni-search-bar\i18n\en.json                  | JSON       |          4 |          0 |          0 |          4 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-search-bar\components\uni-search-bar\i18n\index.js                 | JavaScript |          8 |          0 |          1 |          9 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-search-bar\components\uni-search-bar\i18n\zh-Hans.json             | JSON       |          4 |          0 |          1 |          5 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-search-bar\components\uni-search-bar\i18n\zh-Hant.json             | JSON       |          4 |          0 |          1 |          5 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-search-bar\package.json                                            | JSON       |         87 |          0 |          0 |         87 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-search-bar\readme.md                                               | Markdown   |          6 |          0 |          9 |         15 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-section\changelog.md                                               | Markdown   |          2 |          0 |          1 |          3 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-section\package.json                                               | JSON       |         87 |          0 |          0 |         87 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-section\readme.md                                                  | Markdown   |          6 |          0 |          3 |          9 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-segmented-control\changelog.md                                     | Markdown   |         15 |          0 |          1 |         16 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-segmented-control\package.json                                     | JSON       |         85 |          0 |          0 |         85 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-segmented-control\readme.md                                        | Markdown   |          6 |          0 |          8 |         14 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-steps\changelog.md                                                 | Markdown   |         17 |          0 |          2 |         19 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-steps\package.json                                                 | JSON       |         87 |          0 |          0 |         87 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-steps\readme.md                                                    | Markdown   |          6 |          0 |          8 |         14 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-swipe-action\changelog.md                                          | Markdown   |         47 |          0 |          1 |         48 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-swipe-action\components\uni-swipe-action-item\bindingx.js          | JavaScript |        247 |         37 |         19 |        303 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-swipe-action\components\uni-swipe-action-item\isPC.js              | JavaScript |         12 |          0 |          1 |         13 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-swipe-action\components\uni-swipe-action-item\mpalipay.js          | JavaScript |        160 |         24 |         12 |        196 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-swipe-action\components\uni-swipe-action-item\mpother.js           | JavaScript |        204 |         43 |         14 |        261 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-swipe-action\components\uni-swipe-action-item\mpwxs.js             | JavaScript |         72 |          8 |          5 |         85 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-swipe-action\components\uni-swipe-action-item\render.js            | JavaScript |        169 |         74 |         28 |        271 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-swipe-action\components\uni-swipe-action-item\wx.wxs               | XML        |        305 |          0 |         37 |        342 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-swipe-action\package.json                                          | JSON       |         84 |          0 |          1 |         85 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-swipe-action\readme.md                                             | Markdown   |          6 |          0 |          5 |         11 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-swiper-dot\changelog.md                                            | Markdown   |         12 |          0 |          1 |         13 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-swiper-dot\package.json                                            | JSON       |         87 |          0 |          0 |         87 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-swiper-dot\readme.md                                               | Markdown   |          6 |          0 |          5 |         11 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-table\changelog.md                                                 | Markdown   |         29 |          0 |          1 |         30 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-table\i18n\en.json                                                 | JSON       |          9 |          0 |          1 |         10 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-table\i18n\es.json                                                 | JSON       |          9 |          0 |          1 |         10 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-table\i18n\fr.json                                                 | JSON       |          9 |          0 |          1 |         10 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-table\i18n\index.js                                                | JavaScript |         12 |          0 |          1 |         13 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-table\i18n\zh-Hans.json                                            | JSON       |          9 |          0 |          1 |         10 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-table\i18n\zh-Hant.json                                            | JSON       |          9 |          0 |          1 |         10 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-table\package.json                                                 | JSON       |         83 |          0 |          0 |         83 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-table\readme.md                                                    | Markdown   |          5 |          0 |          9 |         14 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-tag\changelog.md                                                   | Markdown   |         23 |          0 |          1 |         24 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-tag\package.json                                                   | JSON       |         84 |          0 |          0 |         84 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-tag\readme.md                                                      | Markdown   |          6 |          0 |          8 |         14 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-test\changelog.md                                                  | Markdown   |         33 |          0 |          7 |         40 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-test\package.json                                                  | JSON       |         83 |          0 |          1 |         84 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-test\readme.md                                                     | Markdown   |          5 |          0 |          5 |         10 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-title\changelog.md                                                 | Markdown   |         10 |          0 |          1 |         11 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-title\package.json                                                 | JSON       |         88 |          0 |          0 |         88 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-title\readme.md                                                    | Markdown   |          6 |          0 |          9 |         15 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-tooltip\changelog.md                                               | Markdown   |         16 |          0 |          1 |         17 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-tooltip\package.json                                               | JSON       |         86 |          0 |          0 |         86 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-tooltip\readme.md                                                  | Markdown   |          6 |          0 |          3 |          9 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-transition\changelog.md                                            | Markdown   |         24 |          0 |          1 |         25 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-transition\components\uni-transition\createAnimation.js            | JavaScript |        102 |         21 |          9 |        132 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-transition\package.json                                            | JSON       |         85 |          0 |          0 |         85 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-transition\readme.md                                               | Markdown   |          6 |          0 |          5 |         11 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-ui\changelog.md                                                    | Markdown   |        574 |          0 |          5 |        579 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-ui\package.json                                                    | JSON       |        130 |          0 |          0 |        130 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-ui\readme.md                                                       | Markdown   |        178 |          0 |         69 |        247 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\wo-xiaohongshu-h5\changelog.md                                         | Markdown   |          2 |          0 |          1 |          3 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\wo-xiaohongshu-h5\package.json                                         | JSON       |         87 |          0 |          0 |         87 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\wo-xiaohongshu-h5\readme.md                                            | Markdown   |          1 |          0 |          0 |          1 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\unpackage\dist\build\.nvue\app.css.js                                              | JavaScript |         11 |          0 |          1 |         12 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\unpackage\dist\build\.nvue\app.js                                                  | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\unpackage\dist\build\app-plus\__uniappautomator.js                                 | JavaScript |          2 |         14 |          1 |         17 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\unpackage\dist\build\app-plus\__uniappchooselocation.js                            | JavaScript |         28 |          0 |          5 |         33 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\unpackage\dist\build\app-plus\__uniappopenlocation.js                              | JavaScript |         28 |          0 |          5 |         33 |
| c:\Users\李子林\Desktop\aigc\项目\emocloud1\unpackage\dist\build\app-plus\__uniapppicker.js                                    | JavaScript |         29 |          0 |          5 |         34 |
